table_name,name,col_type,description,badges,attribute_name,col_description,is_nullable,is_primary_key,is_foreign_key,sensitivity,technical_source,is_view,database,cluster,schema,sort_order
mdd_spp_mdcr_blg_enrlmt,fnlzd_ts,TIMESTAMP,The date on which the Medicare Provider Enrollment is considered to have been both completed and accepted by Medicare.,Nullable,Finalized Timestamp,The date on which the Medicare Provider Enrollment is considered to have been both completed and accepted by Medicare.,Yes,No,,,,Table,hive,gold,hive_mdm,39
mdd_spp_mdcr_blg_enrlmt,mdcr_blg_enrlmt_id,VARCHAR(30),A unique identifier for an enrollment seeking the authority to bill Medicare for services rendered.,Primary Key,Medicare Billing Enrollment Identifier,A unique identifier for an enrollment seeking the authority to bill Medicare for services rendered.,No,Yes,,,,Table,hive,gold,hive_mdm,40
mdd_spp_mdcr_blg_enrlmt,cntrctr_id,CHAR(5),Unique number that identifies a Medicare contractor.,Nullable,Medicare Administrative Contractor ID,Unique number that identifies a Medicare contractor.,Yes,No,,,,Table,hive,gold,hive_mdm,41
mdd_spp_mdcr_blg_enrlmt,state_cd,CHAR(2),Unique value that identifies a state in which the Medicare Administrative Contractor operates.,Nullable,State Code,Unique value that identifies a state in which the Medicare Administrative Contractor operates.,Yes,No,,,,Table,hive,gold,hive_mdm,42
mdd_spp_mdcr_blg_enrlmt,mdm_prvdr_sk,BIGINT,The system generated unique identifier for a Provider Lean Index record in Master Data Management System.,,MDM Provider Surrogatekey,The system generated unique identifier for a Provider Lean Index record in Master Data Management System.,No,No,,,,Table,hive,gold,hive_mdm,43
mdd_spp_mdcr_blg_enrlmt,proc_cntl_dtl_insrt_sk,INTEGER,A unique identifier of the process that inserted the record. ,,Process Control Detail Insert Surrogatekey,A unique identifier of the process that inserted the record. ,No,No,,,,Table,hive,gold,hive_mdm,44
mdd_spp_mdcr_blg_enrlmt,rec_add_ts,TIMESTAMP,The data lineage column used to identify the date and time that the record was inserted into the table.,,Record Add Timestamp,The data lineage column used to identify the date and time that the record was inserted into the table.,No,No,,,,Table,hive,gold,hive_mdm,45
mdd_spp_mdcr_blg_enrlmt,rec_updt_ts,TIMESTAMP,The data lineage column used to identify the date and time that the record was update within the table.,,Record Update Timestamp,The data lineage column used to identify the date and time that the record was update within the table.,No,No,,,,Table,hive,gold,hive_mdm,46
mdd_spp_mdcr_blg_enrlmt,proc_cntl_dtl_last_updt_sk,INTEGER,A unique identifier of the process that last updated the record.,,Process Control Detail Last Update Surrogatekey,A unique identifier of the process that last updated the record.,No,No,,,,Table,hive,gold,hive_mdm,47
mdd_spp_mdcr_blg_enrlmt,enrlmt_role_desc,VARCHAR(255),"Description for the Unique value that identifies the Role Code.

",Nullable,Medicare Billing Enrollment Role Description,"Description for the Unique value that identifies the Role Code.

",Yes,No,,,,Table,hive,gold,hive_mdm,48
mdd_spp_mdcr_blg_enrlmt,rec_stus_cd,VARCHAR(30),"Indicates the status of the record



Possible values  are C (Current table record), H (History  table record), D (Deleted record) values.

",,Record Status Code,"Indicates the status of the record



Possible values  are C (Current table record), H (History  table record), D (Deleted record) values.

",No,No,,,,Table,hive,gold,hive_mdm,49
mdd_spp_mdcr_blg_enrlmt,incorptn_state_cd,VARCHAR(30),A unique identifier assigned by ANSI (American National Standards Institute) to a US State. Reference lookup as GEO_ANSI_STATE_RFRNC.,Nullable,Geographic ANSI State Code,A unique identifier assigned by ANSI (American National Standards Institute) to a US State. Reference lookup as GEO_ANSI_STATE_RFRNC.,Yes,No,,,,Table,hive,gold,hive_mdm,50
mdd_spp_mdcr_blg_enrlmt,org_busns_struc_cd,VARCHAR(30),"A unique identifier for a classification of business structure as used by a Person or an Organization in the course of providing some product or service.



Reference lookup as ORG_BUSN_STRUC_TYPE_RFRNC.",Nullable,Organization Business Structure Type Code,"A unique identifier for a classification of business structure as used by a Person or an Organization in the course of providing some product or service.



Reference lookup as ORG_BUSN_STRUC_TYPE_RFRNC.",Yes,No,,,,Table,hive,gold,hive_mdm,51
mdd_spp_mdcr_blg_enrlmt,org_prft_sw,CHAR(1),"An indicator Y for yes and N for no that the non government organization is for profit

For example 

Y  Yes for profit

N No for non profit



",Nullable,Organization Profit Switch,"An indicator Y for yes and N for no that the non government organization is for profit

For example 

Y  Yes for profit

N No for non profit



",Yes,No,,,,Table,hive,gold,hive_mdm,52
mdd_spp_mdcr_blg_enrlmt,org_busns_struc_type_desc,VARCHAR(255),Description for a classification of business structure as used by a Person or an Organization in the course of providing some product or service.,Nullable,Organization Business Structure Type Description,Description for a classification of business structure as used by a Person or an Organization in the course of providing some product or service.,Yes,No,,,,Table,hive,gold,hive_mdm,53
mdd_spp_mdcr_blg_enrlmt,src_sys_name,VARCHAR(35),Name of the system from which the record is sourced.,Nullable,Source System Name,Name of the system from which the record is sourced.,Yes,No,,,,Table,hive,gold,hive_mdm,54
mdd_spp_mdcr_blg_enrlmt,src_sub_sys_name,CHAR(18),"Name of the subsytem such as NPESS, FISS, etc in the case of NPISCS, from which the record is sourced",Nullable,Source Sub System Name,"Name of the subsytem such as NPESS, FISS, etc in the case of NPISCS, from which the record is sourced",Yes,No,,,,Table,hive,gold,hive_mdm,55
mdd_spp_mdcr_blg_enrlmt,rptg_prd_dt,DATE,Date that indicates the source reporting period of the record,Nullable,Reporting Period Date,Date that indicates the source reporting period of the record,Yes,No,,,,Table,hive,gold,hive_mdm,56
mdd_spp_prvdr_dme_faair,faair_type_cd,VARCHAR(30),"Unique value that identifies the type of Fraud and Abuse Index of Risk Code. 

e.g.: Q - Low risk; R – Limited risk; S – Medium risk; T – High risk, etc.",,DMEPOS Enrollment Fraud and Abuse Index of Risk Type Code,"Unique value that identifies the type of Fraud and Abuse Index of Risk Code. 

e.g.: Q - Low risk; R – Limited risk; S – Medium risk; T – High risk, etc.",No,No,,,,Table,hive,gold,hive_mdm,57
mdd_spp_prvdr_dme_faair,faair_efctv_ts,TIMESTAMP,Date when the Fraud and Abuse Index of Risk is in effect for the Durable Medical Equipment ( DME ) Supplier.,,DMEPOS Enrollment Fraud and Abuse Index of Risk Effective Timestamp,Date when the Fraud and Abuse Index of Risk is in effect for the Durable Medical Equipment ( DME ) Supplier.,No,No,,,,Table,hive,gold,hive_mdm,58
mdd_spp_prvdr_dme_faair,faair_trmntn_ts,TIMESTAMP,Date when the Fraud and Abuse Index of Risk is no longer valid  for the Durable Medical Equipment ( DME ) Supplier.,Nullable,DMEPOS Enrollment Fraud and Abuse Index of Risk End Timestamp,Date when the Fraud and Abuse Index of Risk is no longer valid  for the Durable Medical Equipment ( DME ) Supplier.,Yes,No,,,,Table,hive,gold,hive_mdm,59
mdd_spp_prvdr_dme_faair,mdcr_blg_enrlmt_id,VARCHAR(30),A unique identifier for an enrollment seeking the authority to bill Medicare for services rendered.,,Medicare Billing Enrollment Identifier,A unique identifier for an enrollment seeking the authority to bill Medicare for services rendered.,No,No,,,,Table,hive,gold,hive_mdm,60
mdd_spp_prvdr_dme_faair,proc_cntl_dtl_insrt_sk,INTEGER,A unique identifier of the process that inserted the record. ,,Process Control Detail Insert Surrogatekey,A unique identifier of the process that inserted the record. ,No,No,,,,Table,hive,gold,hive_mdm,61
mdd_spp_prvdr_dme_faair,rec_add_ts,TIMESTAMP,The data lineage column used to identify the date and time that the record was inserted into the table.,,Record Add Timestamp,The data lineage column used to identify the date and time that the record was inserted into the table.,No,No,,,,Table,hive,gold,hive_mdm,62
mdd_spp_prvdr_dme_faair,rec_updt_ts,TIMESTAMP,The data lineage column used to identify the date and time that the record was update within the table.,,Record Update Timestamp,The data lineage column used to identify the date and time that the record was update within the table.,No,No,,,,Table,hive,gold,hive_mdm,63
mdd_spp_prvdr_dme_faair,proc_cntl_dtl_last_updt_sk,INTEGER,A unique identifier of the process that last updated the record.,,Process Control Detail Last Update Surrogatekey,A unique identifier of the process that last updated the record.,No,No,,,,Table,hive,gold,hive_mdm,64
mdd_spp_prvdr_dme_faair,faair_type_desc,VARCHAR(255),"Description for the Unique value that identifies the type of Fraud and Abuse Index of Risk Code. 



Example: 



Q - Low risk

R – Limited risk 

S – Medium risk 

T – High risk",Nullable,DMEPOS Enrollment Fraud and Abuse Index of Risk Type Description,"Description for the Unique value that identifies the type of Fraud and Abuse Index of Risk Code. 



Example: 



Q - Low risk

R – Limited risk 

S – Medium risk 

T – High risk",Yes,No,,,,Table,hive,gold,hive_mdm,65
mdd_spp_prvdr_dme_faair,dme_faair_sk,DECIMAL(20),An identification component from source system used to achieve an uniqueness in the data loaded into this table.,,DMEPOS Enrollment Fraud and Abuse Index of Risk Surrogatekey,An identification component from source system used to achieve an uniqueness in the data loaded into this table.,No,No,,,,Table,hive,gold,hive_mdm,66
mdd_spp_prvdr_dme_faair,rec_stus_cd,VARCHAR(30),"Indicates the status of the record



Possible values  are C (Current table record), H (History  table record), D (Deleted record) values.

",,Record Status Code,"Indicates the status of the record



Possible values  are C (Current table record), H (History  table record), D (Deleted record) values.

",No,No,,,,Table,hive,gold,hive_mdm,67
mdd_spp_prvdr_dme_faair,mdm_prvdr_dme_faair_sk,BIGINT,Unique number generated on MDM to make the row in the table unique.,,MDM Provider DMEPOS Enrollment Fraud and Abuse Index of Risk Surrogatekey,Unique number generated on MDM to make the row in the table unique.,No,No,,,,Table,hive,gold,hive_mdm,68
mdd_spp_prvdr_dme_faair,src_sys_name,VARCHAR(35),Name of the system from which the record is sourced.,Nullable,Source System Name,Name of the system from which the record is sourced.,Yes,No,,,,Table,hive,gold,hive_mdm,69
mdd_spp_prvdr_dme_faair,src_sub_sys_name,CHAR(18),"Name of the subsytem such as NPESS, FISS, etc in the case of NPISCS, from which the record is sourced",Nullable,Source Sub System Name,"Name of the subsytem such as NPESS, FISS, etc in the case of NPISCS, from which the record is sourced",Yes,No,,,,Table,hive,gold,hive_mdm,70
mdd_spp_prvdr_dme_faair,rptg_prd_dt,DATE,Date that indicates the source reporting period of the record,Nullable,Reporting Period Date,Date that indicates the source reporting period of the record,Yes,No,,,,Table,hive,gold,hive_mdm,71
mdd_prvdr_dm_lcns_hstry,lcns_num,CHAR(20),The identifier assigned to a license or certificate for a specific medical skill and assigned to a healthcare Provider.,,License Number,The identifier assigned to a license or certificate for a specific medical skill and assigned to a healthcare Provider.,No,No,,,,Table,hive,gold,hive_mdm,72
mdd_prvdr_dm_lcns_hstry,prvdr_lcns_efctv_ts,TIMESTAMP,"The date the healthcare Provider officially began to be identified at CMS by the specific type of legacy Medicare identifier.

",Nullable,Provider License Effective Timestamp,"The date the healthcare Provider officially began to be identified at CMS by the specific type of legacy Medicare identifier.

",Yes,No,,,,Table,hive,gold,hive_mdm,73
mdd_prvdr_dm_lcns_hstry,prvdr_lcns_trmntn_ts,TIMESTAMP,"The last day the legacy Medicare identifier was active at CMS for the healthcare Provider.



",Nullable,Provider License Termination Timestamp,"The last day the legacy Medicare identifier was active at CMS for the healthcare Provider.



",Yes,No,,,,Table,hive,gold,hive_mdm,74
mdd_prvdr_dm_lcns_hstry,lcns_city_name,VARCHAR(30),"The name of a city that the license may be valid for. Such a city name is relative to either:30

  1. An ambulance service license, or

   2, A Durable Medical Equipment,

          Prosthetics, Orthotics, and Supplies 

          (DMEPOS) license.",Nullable,License City Name,"The name of a city that the license may be valid for. Such a city name is relative to either:30

  1. An ambulance service license, or

   2, A Durable Medical Equipment,

          Prosthetics, Orthotics, and Supplies 

          (DMEPOS) license.",Yes,No,,,,Table,hive,gold,hive_mdm,75
mdd_prvdr_dm_lcns_hstry,mltpl_enrlmt_ind,CHAR(1),"Indicates whether the DMEPOS Supplier is currently enrolled in the Medicaid/Medicare program other than as a DMEPOS Supplier; valid values are: 'Y' and 'N'. If 'Y', a corresponding row will be in the DMEPOS Supplier Other Enrollment Association entity.",Nullable,DME Supplier Enrolled in Other Enrollment Switch,"Indicates whether the DMEPOS Supplier is currently enrolled in the Medicaid/Medicare program other than as a DMEPOS Supplier; valid values are: 'Y' and 'N'. If 'Y', a corresponding row will be in the DMEPOS Supplier Other Enrollment Association entity.",Yes,No,,,,Table,hive,gold,hive_mdm,76
mdd_prvdr_dm_lcns_hstry,prvdr_lcns_hstry_sk,INT,"The surrogate key in a database is a unique identifier for either an entity in the modeled world or an object in the database. The surrogate key is not derived from application data, unlike a natural (or business) key which is derived from application data. Dummy sequential integer that acts as a Primary Key for the table.",,Provider License History Surrogatekey,"The surrogate key in a database is a unique identifier for either an entity in the modeled world or an object in the database. The surrogate key is not derived from application data, unlike a natural (or business) key which is derived from application data. Dummy sequential integer that acts as a Primary Key for the table.",No,No,,,,Table,hive,gold,hive_mdm,77
mdd_prvdr_dm_lcns_hstry,proc_cntl_dtl_insrt_sk,INTEGER,A unique identifier of the process that inserted the record. ,,Process Control Detail Insert Surrogatekey,A unique identifier of the process that inserted the record. ,No,No,,,,Table,hive,gold,hive_mdm,78
mdd_prvdr_dm_lcns_hstry,rec_add_ts,TIMESTAMP,The data lineage column used to identify the date and time that the record was inserted into the table.,,Record Add Timestamp,The data lineage column used to identify the date and time that the record was inserted into the table.,No,No,,,,Table,hive,gold,hive_mdm,79
mdd_prvdr_dm_lcns_hstry,rec_updt_ts,TIMESTAMP,The data lineage column used to identify the date and time that the record was update within the table.,,Record Update Timestamp,The data lineage column used to identify the date and time that the record was update within the table.,No,No,,,,Table,hive,gold,hive_mdm,80
mdd_prvdr_dm_lcns_hstry,lcns_state_cd,CHAR(2),The USPS state code of a state that the license may be valid for.,Nullable,License State Code,The USPS state code of a state that the license may be valid for.,Yes,No,,,,Table,hive,gold,hive_mdm,81
mdd_prvdr_dm_lcns_hstry,iss_ts,TIMESTAMP,"The date on which the issuing organization made it known that a Durable Medical Equipment, Prosthetics, Orthotics, and Supplies (DMEPOS) license would be granted to the Provider.",Nullable,Issue Timestamp,"The date on which the issuing organization made it known that a Durable Medical Equipment, Prosthetics, Orthotics, and Supplies (DMEPOS) license would be granted to the Provider.",Yes,No,,,,Table,hive,gold,hive_mdm,82
mdd_prvdr_dm_lcns_hstry,src_sys_rec_id,VARCHAR(500),Unique identifier for the record in the source system,,Source System Record Identifier,Unique identifier for the record in the source system,No,No,,,,Table,hive,gold,hive_mdm,83
mdd_prvdr_dm_lcns_hstry,proc_cntl_dtl_last_updt_sk,INTEGER,A unique identifier of the process that last updated the record.,,Process Control Detail Last Update Surrogatekey,A unique identifier of the process that last updated the record.,No,No,,,,Table,hive,gold,hive_mdm,84
mdd_prvdr_dm_lcns_hstry,mdm_prvdr_sk,BIGINT,The system generated unique identifier for a Provider Lean Index record in Master Data Management System.,,MDM Provider Surrogatekey,The system generated unique identifier for a Provider Lean Index record in Master Data Management System.,No,No,,,,Table,hive,gold,hive_mdm,85
mdd_prvdr_dm_lcns_hstry,lcns_type_rfrnc_sk,INT,Unique identifier for the type of provider license,,License Type Reference Surrogatekey,Unique identifier for the type of provider license,No,No,,,,Table,hive,gold,hive_mdm,86
mdd_prvdr_dm_lcns_hstry,prvdr_mdcr_spclty_rfrnc_sk,INT,"A unique identifier for a classification of healthcare Provider as recognized for the purposes of that healthcare Provider enrolling to bill Medicare for services provided to Medicare Beneficiaries.



Reference lookup as PRVDR_MDCR_SPCLTY.



",,Provider Medicare Specialty Reference Surrogatekey,"A unique identifier for a classification of healthcare Provider as recognized for the purposes of that healthcare Provider enrolling to bill Medicare for services provided to Medicare Beneficiaries.



Reference lookup as PRVDR_MDCR_SPCLTY.



",No,No,,,,Table,hive,gold,hive_mdm,87
mdd_prvdr_dm_lcns_hstry,lcns_stus_type_rfrnc_sk,INT,"A unique identifier for a classification for the overall status that a State License issued to a Provider by a state in the United States of America may have

Examples are;

           State license denied

           State license suspended

           State license approved

           State license revoked  

           State license on probation

           State license restricted.



Reference lookup as PRVDR_STATE_LCNS_STUS_TYPE_RFRNC.",,License Status Type Reference Surrogatekey,"A unique identifier for a classification for the overall status that a State License issued to a Provider by a state in the United States of America may have

Examples are;

           State license denied

           State license suspended

           State license approved

           State license revoked  

           State license on probation

           State license restricted.



Reference lookup as PRVDR_STATE_LCNS_STUS_TYPE_RFRNC.",No,No,,,,Table,hive,gold,hive_mdm,88
mdd_prvdr_dm_lcns_hstry,prvdr_dme_lcns_type_rfrnc_sk,INT,"A unique identifier for a type of  Durable Medical Equipment, Prosthetics, Orthotics, and Supplies (DMEPOS) License Agency.



Reference lookup as PRVDR_DME_LCNS_AGNCY_RFRNC.",,Provider DME License Type Reference Surrogatekey,"A unique identifier for a type of  Durable Medical Equipment, Prosthetics, Orthotics, and Supplies (DMEPOS) License Agency.



Reference lookup as PRVDR_DME_LCNS_AGNCY_RFRNC.",No,No,,,,Table,hive,gold,hive_mdm,89
